Situation,Next,Probability
s1,f1,0.1036732975476265
s1,f2,0.3379293407711469
s1,s1,0.057923727326948
s1,s2,0.2184331473879942
s1,s3,0.0185594498824685
s1,s4,0.0393642774444795
s1,s5,0.2241167596393362
s2,f1,0.2045062498341339
s2,f2,0.1936785117167803
s2,s1,0.1861680953265571
s2,s2,0.0884530665322045
s2,s3,0.0296701255274541
s2,s4,0.2211459356174199
s2,s5,0.0763780154454499
s3,f1,0.9612079587369324
s3,f2,0.0023236546050035
s3,s1,0.0068619648197137
s3,s2,0.0021140705719413
s3,s3,0.0094303890983666
s3,s4,0.008757909916856
s3,s5,0.0093040522511862
s4,f1,0.0
s4,f2,0.0
s4,s1,0.0
s4,s2,0.0
s4,s3,0.0
s4,s4,0.0
s4,s5,0.0
s5,f1,0.039977550403661
s5,f2,0.0631179035530803
s5,s1,0.4091438932780727
s5,s2,0.0116565211760134
s5,s3,0.1266675301126797
s5,s4,0.0279324785217804
s5,s5,0.3215041229547122
