Situation,Next,Probability
s2,f1,0.0078125
s2,f2,0.0
s2,s1,0.0
s2,s2,0.6236979166666666
s2,s3,0.3658854166666667
s2,s4,0.0
s2,s5,0.0
s2,s6,0.0
s2,s7,0.0
s2,s8,0.0013020833333333333
s2,s9,0.0013020833333333333
s2,s10,0.0
s2,s11,0.0
s2,s12,0.0
s2,s13,0.0
s2,s14,0.0
s2,s15,0.0
s2,s16,0.0
s2,s17,0.0
s4,f1,0.0
s4,f2,0.0
s4,s1,0.0
s4,s2,0.125
s4,s3,0.0
s4,s4,0.875
s4,s5,0.0
s4,s6,0.0
s4,s7,0.0
s4,s8,0.0
s4,s9,0.0
s4,s10,0.0
s4,s11,0.0
s4,s12,0.0
s4,s13,0.0
s4,s14,0.0
s4,s15,0.0
s4,s16,0.0
s4,s17,0.0
s9,f1,0.00017019345322516594
s9,f2,0.0
s9,s1,0.0
s9,s2,0.0
s9,s3,0.00459522323707948
s9,s4,0.0
s9,s5,0.0
s9,s6,0.0
s9,s7,0.001418278776876383
s9,s8,0.02274919158109718
s9,s9,0.9708969194984967
s9,s10,0.0
s9,s11,0.00017019345322516594
s9,s12,0.0
s9,s13,0.0
s9,s14,0.0
s9,s15,0.0
s9,s16,0.0
s9,s17,0.0
s11,f1,0.0
s11,f2,0.0
s11,s1,0.0
s11,s2,0.0
s11,s3,0.0
s11,s4,0.0
s11,s5,0.0029985007496251873
s11,s6,0.0
s11,s7,0.0
s11,s8,0.0
s11,s9,0.0074962518740629685
s11,s10,0.0
s11,s11,0.9895052473763118
s11,s12,0.0
s11,s13,0.0
s11,s14,0.0
s11,s15,0.0
s11,s16,0.0
s11,s17,0.0
